cid,tox21_outcome,vina_affinity,seconds
4115,Active,-7.266,7.7
21700,Inactive,0.989,33.7
12002,Inactive,-5.135,1.5
75893,Inactive,-5.832,3.0
108150,Active,49.530,64.7
161562,Inactive,-6.287,14.5
86398,Active,-7.898,4.7
7204,Inactive,-6.410,4.3
22094,Active,-7.516,11.1
156422,Active,0.126,55.6
4578030,Inactive,-6.852,12.2
7583,Inactive,-6.968,2.9
8861,Inactive,-5.253,2.0
5284623,Active,23.570,76.4
138394051,Inactive,-7.753,2.1
12512,Inactive,-3.783,1.7
5362708,Active,-6.999,12.7
9799979,Active,-5.208,16.0
3352,Active,-5.116,10.7
12328,Inactive,-4.945,5.1
12372,Inactive,-4.467,2.9
3634,Active,-5.842,11.8
9562059,Active,-3.721,66.2
51082,Active,-5.380,48.1
24180685,Active,-6.956,18.6
