cid,tox21_outcome,vina_affinity,seconds
6918493,Inactive,-5.618,20.9
11229,Inactive,-4.449,1.6
12472902,Active,-7.810,7.8
27200,Inactive,-6.535,13.3
77328,Active,-5.239,1.6
5281875,Active,2.467,41.8
71482,Inactive,-6.217,7.7
5343,Inactive,-7.457,6.7
7488,Inactive,-6.398,2.7
10113978,Active,6.213,24.0
7895,Inactive,-4.067,1.8
3718,Inactive,-4.890,7.1
3610,Active,-6.407,6.9
75195,Active,2.900,20.7
1548887,Inactive,-4.558,11.9
3503,Active,12.930,56.0
3598,Active,-6.044,8.1
7618,Inactive,-4.535,6.8
6909,Inactive,-6.114,1.6
444021,Active,-2.694,71.7
24944555,Active,-6.246,35.8
77990,Inactive,-6.286,6.6
85025,Active,-8.625,3.7
2734161,Inactive,-4.598,2.4
8691,Active,-7.537,4.8
