cid,tox21_outcome,vina_affinity,seconds
CHEMBL1326803,Inactive,-6.665,9.0
CHEMBL2382124,Inactive,3.641,27.4
CHEMBL1401227,Inactive,-4.407,10.0
CHEMBL1511524,Inactive,-7.199,10.2
CHEMBL3588865,Active,-2.489,119.3
CHEMBL5759754,Active,-5.354,36.4
CHEMBL2441817,Inactive,-4.286,7.6
CHEMBL5937863,Active,-5.703,33.3
CHEMBL5829098,Active,-5.698,27.6
CHEMBL5741828,Active,-1.143,53.9
CHEMBL4237833,Active,56.190,352.6
CHEMBL183584,Active,-3.013,36.2
CHEMBL1541779,Inactive,-7.329,14.5
CHEMBL5970617,Active,13.660,64.0
CHEMBL418327,Active,-0.613,34.8
CHEMBL6151887,Active,2.778,31.0
CHEMBL1576748,Inactive,-5.713,5.8
CHEMBL4764628,Active,-0.538,57.2
CHEMBL1431650,Inactive,-6.333,6.0
CHEMBL2332576,Active,-4.556,9.6
CHEMBL250520,Inactive,6.694,98.5
CHEMBL126164,Active,-2.472,29.0
CHEMBL125,Inactive,-5.127,51.9
CHEMBL6167347,Active,13.630,39.9
CHEMBL209851,Active,-8.837,4.7
