cid,tox21_outcome,vina_affinity,seconds
CHEMBL643,Inactive,-8.146,5.0
CHEMBL158017,Inactive,-6.283,24.6
CHEMBL1542391,Inactive,-6.936,5.5
CHEMBL1449110,Inactive,-1.944,10.2
CHEMBL1556666,Inactive,-4.584,20.9
CHEMBL150279,Active,-3.264,37.0
CHEMBL5916184,Active,-0.894,50.9
CHEMBL2332572,Inactive,-8.704,8.4
CHEMBL4163000,Active,-7.423,53.1
CHEMBL5839071,Active,-6.488,36.8
CHEMBL3350384,Active,-6.510,21.1
CHEMBL147060,Inactive,-7.259,5.1
CHEMBL6144327,Active,-1.641,55.1
CHEMBL6056309,Active,-4.309,33.9
CHEMBL522471,Inactive,-1.374,41.7
CHEMBL4168602,Active,-6.948,12.3
CHEMBL3827034,Inactive,4.436,40.0
CHEMBL3195623,Inactive,-0.750,11.3
CHEMBL204024,Active,-9.357,9.0
CHEMBL216279,Active,-7.517,16.3
CHEMBL5927490,Active,-4.209,48.7
CHEMBL512579,Inactive,-6.574,9.2
CHEMBL1429596,Inactive,0.020,12.2
CHEMBL5080148,Active,3.502,32.5
CHEMBL240227,Active,0.162,148.3
