cid,tox21_outcome,vina_affinity,seconds
CHEMBL187915,Active,-7.712,4.8
CHEMBL1996233,Inactive,-4.460,10.7
CHEMBL3823498,Active,-4.169,57.9
CHEMBL1500466,Inactive,-2.229,18.8
CHEMBL241304,Active,-5.442,83.9
CHEMBL1410824,Inactive,-6.176,21.1
CHEMBL4563508,Active,-0.010,29.2
CHEMBL2441819,Inactive,-1.824,35.9
CHEMBL1345810,Inactive,-1.714,34.4
CHEMBL1491959,Inactive,-4.420,28.2
CHEMBL1350028,Inactive,-7.004,11.7
CHEMBL4246022,Active,,599.4
CHEMBL1472407,Inactive,-7.555,6.3
CHEMBL1341057,Inactive,-2.641,19.1
CHEMBL1083188,Active,-2.057,25.5
CHEMBL5938595,Active,0.019,45.5
CHEMBL206773,Inactive,-6.877,7.1
CHEMBL2403347,Active,-7.455,10.2
CHEMBL5089862,Active,-4.461,24.1
CHEMBL1548361,Inactive,2.892,11.5
CHEMBL4213826,Inactive,4.108,25.2
CHEMBL5189869,Inactive,-7.122,7.7
CHEMBL1464837,Inactive,-2.919,31.0
CHEMBL225514,Active,-8.616,8.4
CHEMBL1983345,Inactive,-4.265,13.9
