cid,tox21_outcome,vina_affinity,seconds
68547,Active,-6.728,6.6
7340,Active,-8.155,4.9
23019,Active,-6.407,6.9
11534,Inactive,-2.641,1.2
10522,Active,-7.613,9.5
31236,Inactive,-5.190,3.5
31370,Inactive,-3.290,1.8
104386,Inactive,-5.333,10.0
468595,Active,10.360,193.3
62902,Inactive,-4.828,3.5
7612,Inactive,-3.620,1.1
81278,Inactive,-6.580,2.3
6442842,Inactive,-6.705,22.7
79414,Inactive,-6.751,2.5
227,Inactive,-5.882,2.8
2337,Active,-5.856,3.9
10832,Inactive,-7.066,2.7
62553,Inactive,-6.428,3.6
5472,Inactive,-7.321,4.0
15046,Inactive,-7.442,2.8
7825,Inactive,-4.053,3.3
8152,Active,-5.737,11.9
135445761,Inactive,-5.772,2.4
387447,Active,,0.2
28145,Inactive,,0.0
