cid,tox21_outcome,vina_affinity,seconds
CHEMBL5975666,Active,1.529,35.5
CHEMBL1329455,Inactive,-5.891,6.4
CHEMBL1359893,Inactive,-6.562,5.2
CHEMBL5859562,Active,-4.145,36.7
CHEMBL1325931,Inactive,-8.324,12.7
CHEMBL1466928,Inactive,-4.819,22.1
CHEMBL1419810,Inactive,-7.507,16.7
CHEMBL3764615,Active,-10.340,11.5
CHEMBL4744609,Active,-1.994,26.1
CHEMBL1389780,Inactive,-6.591,9.8
CHEMBL135649,Active,-7.999,9.2
CHEMBL58563,Active,-3.941,21.2
CHEMBL4786058,Active,0.866,35.6
CHEMBL4251065,Active,,600.6
CHEMBL4082698,Active,-3.787,24.0
CHEMBL3290286,Active,-3.922,13.8
CHEMBL5886097,Inactive,20.790,71.6
CHEMBL1581991,Inactive,-1.640,16.7
CHEMBL85826,Inactive,-3.860,6.3
CHEMBL5922259,Active,2.794,50.0
CHEMBL1555033,Inactive,-2.903,30.4
CHEMBL1087884,Inactive,-6.915,9.7
CHEMBL5827282,Active,-5.807,27.0
CHEMBL371624,Active,-7.258,5.9
CHEMBL3589350,Active,-3.152,101.8
