cid,tox21_outcome,vina_affinity,seconds
CHEMBL490942,Inactive,-9.042,8.3
CHEMBL1326483,Inactive,-7.679,10.2
CHEMBL1538325,Inactive,2.354,14.7
CHEMBL1307769,Inactive,-0.840,16.4
CHEMBL1784260,Inactive,-6.037,25.2
CHEMBL206764,Inactive,-6.768,7.4
CHEMBL214692,Active,-7.259,11.8
CHEMBL519260,Inactive,-1.851,20.2
CHEMBL4175025,Active,0.097,41.5
CHEMBL77794,Inactive,-7.258,5.1
CHEMBL5875680,Inactive,14.940,68.9
CHEMBL5395953,Active,6.046,490.8
CHEMBL191715,Active,-7.689,5.2
CHEMBL194014,Inactive,-6.008,5.1
CHEMBL3827633,Inactive,3.129,52.8
CHEMBL5181808,Active,1.708,81.4
CHEMBL5760893,Active,4.866,39.9
CHEMBL3828208,Inactive,-1.046,37.2
CHEMBL471626,Active,0.003,26.9
CHEMBL1469743,Inactive,-4.374,5.0
CHEMBL1584299,Inactive,-1.399,34.2
CHEMBL33808,Active,-1.715,38.0
CHEMBL189178,Active,-1.451,19.3
CHEMBL5280823,Inactive,-4.258,24.8
CHEMBL4098433,Active,-3.595,36.1
