cid,tox21_outcome,vina_affinity,seconds
CHEMBL5781769,Active,-4.663,37.2
CHEMBL1383151,Inactive,-1.530,13.7
CHEMBL1082864,Active,1.631,38.7
CHEMBL193064,Active,-8.214,7.0
CHEMBL4780170,Active,-2.656,20.5
CHEMBL3657161,Active,-2.219,45.2
CHEMBL1531555,Inactive,-0.092,13.1
CHEMBL342418,Active,-7.303,10.5
CHEMBL1439181,Inactive,-6.623,17.7
CHEMBL5750993,Active,2.396,48.5
CHEMBL382698,Inactive,-6.384,8.3
CHEMBL4588281,Active,-2.624,40.8
CHEMBL204697,Active,-4.600,38.0
CHEMBL4090556,Active,-3.310,31.0
CHEMBL1521410,Inactive,-2.072,44.7
CHEMBL5809704,Active,-7.036,7.9
CHEMBL1334930,Inactive,-3.993,36.8
CHEMBL6049754,Active,-6.944,32.1
CHEMBL4792381,Active,46.860,271.2
CHEMBL2382126,Inactive,-7.098,11.1
CHEMBL4517931,Active,-1.958,22.8
CHEMBL4789907,Active,44.480,160.6
CHEMBL370039,Inactive,-7.810,8.4
CHEMBL4101697,Active,2.171,27.2
CHEMBL1533181,Inactive,-1.426,22.1
