cid,tox21_outcome,vina_affinity,seconds
CHEMBL1427643,Inactive,-6.021,12.6
CHEMBL298470,Inactive,-3.621,36.2
CHEMBL4870873,Active,,599.3
CHEMBL5184751,Active,-8.836,6.7
CHEMBL4590610,Active,5.895,36.4
CHEMBL5400175,Active,-4.961,40.0
CHEMBL214207,Active,-1.697,33.5
CHEMBL5943322,Active,-3.419,37.5
CHEMBL380844,Inactive,-8.657,5.5
CHEMBL4205118,Active,-6.428,94.2
CHEMBL6134469,Active,5.051,31.8
CHEMBL1446603,Inactive,4.807,24.6
CHEMBL577938,Inactive,-4.415,10.5
CHEMBL203340,Active,-7.383,5.2
CHEMBL1466913,Inactive,1.267,11.6
CHEMBL1397845,Inactive,1.733,11.7
CHEMBL5590745,Active,-0.863,116.9
CHEMBL4077815,Active,-7.629,6.9
CHEMBL3578276,Inactive,1.636,35.8
CHEMBL347927,Inactive,-6.977,9.1
CHEMBL1417293,Inactive,-6.041,4.5
CHEMBL1525824,Inactive,-4.995,17.6
CHEMBL1560367,Inactive,-3.311,6.8
CHEMBL1359,Inactive,-3.668,25.7
CHEMBL1573735,Inactive,-6.287,3.4
