cid,tox21_outcome,vina_affinity,seconds
71734,Inactive,-2.241,192.3
9578570,Active,-7.724,27.4
7249,Inactive,-5.668,1.9
82146,Active,-3.389,12.1
9882837,Active,-6.972,5.6
5284462,Active,-6.804,7.0
8371,Active,-5.888,1.6
8827,Inactive,-4.480,3.1
31315,Active,-9.644,11.8
11556711,Active,1.054,168.7
7771,Inactive,-5.888,1.3
7540,Inactive,-7.826,7.2
83572,Inactive,-4.514,1.5
44341259,Inactive,-2.749,11.8
14493,Inactive,-4.132,5.0
14895,Inactive,-6.791,16.3
6327514,Inactive,-5.848,14.5
43961,Inactive,-7.369,6.1
13487610,Inactive,-5.580,3.5
66509063,Inactive,,10.2
516872,Inactive,-1.924,1.2
60196368,Inactive,3.232,193.0
46226173,Active,-6.201,9.8
60749,Active,-7.161,4.8
8695,Inactive,-5.921,9.0
