cid,tox21_outcome,vina_affinity,seconds
28803,Active,-5.290,26.9
107720,Active,5.532,30.9
5842000,Active,-6.913,7.3
3393,Inactive,-5.728,15.6
65552,Active,-1.024,13.4
27447,Inactive,-5.716,14.5
24771,Inactive,-2.420,1.1
38779,Active,-6.414,9.3
2662,Active,-4.978,14.2
69091,Inactive,-7.883,5.9
128798,Inactive,-6.201,5.2
9370,Active,-5.415,2.8
743,Inactive,-4.748,4.5
6650,Inactive,-6.007,3.6
7820,Inactive,-4.091,3.6
73675,Active,-8.034,8.6
443311,Active,0.511,43.9
11375816,Active,-4.815,109.1
10197650,Inactive,-3.169,1.4
60196297,Active,-6.792,5.3
2734229,Active,-6.554,15.9
2724411,Active,-3.483,9.0
441371,Inactive,32.910,120.6
6432394,Active,-2.161,23.1
13144,Inactive,-3.756,1.7
