cid,tox21_outcome,vina_affinity,seconds
11048796,Active,-5.002,29.2
67172,Active,-5.414,18.8
70324,Inactive,-6.487,2.7
5284594,Inactive,-8.540,9.2
24603,Inactive,-3.548,1.5
8092,Inactive,-4.952,4.9
36382,Active,-6.145,5.7
8482,Inactive,-5.972,4.2
5889,Inactive,-4.601,4.0
83656,Active,-5.278,14.3
5371728,Active,-6.287,58.7
29732,Active,-6.038,8.6
28417,Active,-4.269,9.1
10824,Active,-4.982,2.3
9601227,Inactive,-5.307,14.6
136122663,Active,72.780,132.0
27901,Inactive,-7.900,5.8
5388962,Inactive,-7.611,21.6
54676038,Active,-4.537,9.5
5354486,Inactive,-5.693,2.2
24814,Active,,0.3
31728,Inactive,-7.617,15.0
167180,Inactive,-6.898,8.0
60196375,Active,-6.556,27.6
3068143,Active,1.422,27.0
