cid,tox21_outcome,vina_affinity,seconds
CHEMBL57875,Active,-5.118,19.8
CHEMBL1466882,Inactive,-5.847,3.7
CHEMBL1976499,Inactive,-2.783,5.6
CHEMBL1548616,Inactive,-6.253,14.7
CHEMBL5990094,Active,-0.537,35.0
CHEMBL5763626,Active,-6.046,36.6
CHEMBL238960,Active,-3.518,86.9
CHEMBL4101656,Active,-3.962,34.9
CHEMBL206426,Inactive,-6.608,6.9
CHEMBL4637537,Inactive,-4.638,30.4
CHEMBL181368,Active,0.765,47.3
CHEMBL4633486,Inactive,-8.172,8.6
CHEMBL206349,Inactive,-6.172,9.2
CHEMBL1585431,Inactive,-6.911,13.0
CHEMBL1377389,Inactive,-3.865,14.5
CHEMBL3189442,Inactive,-5.878,16.7
CHEMBL1447311,Inactive,-5.608,39.3
CHEMBL5792644,Active,-5.999,38.4
CHEMBL4218272,Inactive,4.589,34.7
CHEMBL1411687,Inactive,-2.285,12.4
CHEMBL6063763,Inactive,17.700,78.5
CHEMBL6051199,Active,-2.265,50.6
CHEMBL352024,Inactive,-6.543,10.1
CHEMBL473801,Inactive,-4.131,13.7
CHEMBL3827286,Inactive,1.566,45.6
