cid,tox21_outcome,vina_affinity,seconds
CHEMBL1471823,Inactive,-3.473,13.1
CHEMBL3581693,Active,-3.987,20.4
CHEMBL5191700,Active,0.143,62.2
CHEMBL4555331,Active,-5.287,7.4
CHEMBL438516,Active,-7.730,6.5
CHEMBL81,Active,-2.372,37.6
CHEMBL1628199,Active,-4.484,130.0
CHEMBL3885342,Active,,0.3
CHEMBL2332590,Active,-8.124,8.7
CHEMBL3657166,Active,-1.529,37.0
CHEMBL2332578,Active,-4.483,17.5
CHEMBL5862290,Active,4.856,44.6
CHEMBL1999723,Inactive,-7.475,13.7
CHEMBL1531512,Inactive,-4.942,21.7
CHEMBL4208076,Active,5.890,99.5
CHEMBL1420411,Inactive,4.458,47.2
CHEMBL1368345,Inactive,-6.817,19.8
CHEMBL548615,Inactive,-2.352,6.3
CHEMBL3828422,Inactive,2.310,35.8
CHEMBL372526,Active,-8.360,14.2
CHEMBL1328182,Inactive,-5.428,21.0
CHEMBL364442,Active,-9.425,12.3
CHEMBL5972587,Active,-1.375,48.9
CHEMBL124474,Active,-2.565,35.6
CHEMBL5847607,Active,-5.556,39.7
