cid,tox21_outcome,vina_affinity,seconds
CHEMBL5087025,Active,-3.048,20.9
CHEMBL5800374,Active,3.620,47.7
CHEMBL5833959,Inactive,16.110,75.7
CHEMBL464360,Inactive,-2.282,35.7
CHEMBL202673,Active,-8.222,6.5
CHEMBL1559291,Inactive,0.356,19.3
CHEMBL4474820,Active,3.713,41.0
CHEMBL3581636,Active,-1.651,23.5
CHEMBL4650365,Active,-2.526,36.4
CHEMBL1532234,Inactive,-3.750,30.8
CHEMBL3597499,Active,,599.5
CHEMBL4447143,Active,-2.883,36.2
CHEMBL2332587,Inactive,-8.165,7.3
CHEMBL3196534,Inactive,-7.558,10.2
CHEMBL1548834,Inactive,-7.664,20.4
CHEMBL1531320,Inactive,-6.609,7.6
CHEMBL556307,Active,-7.918,6.4
CHEMBL3109156,Inactive,-4.664,31.6
CHEMBL1382890,Inactive,-7.705,11.0
CHEMBL150924,Inactive,-7.276,4.7
CHEMBL259067,Inactive,-4.522,30.4
CHEMBL1310171,Inactive,-5.530,28.3
CHEMBL1324684,Inactive,-7.044,10.5
CHEMBL1468124,Inactive,-7.148,6.9
CHEMBL3409956,Active,-7.574,6.2
