cid,tox21_outcome,vina_affinity,seconds
3039,Active,-4.436,3.6
443375,Active,-0.649,19.7
91739,Inactive,-6.833,3.2
6950,Active,-6.627,6.0
5265,Active,-7.178,23.4
10219,Active,1.422,28.6
7311,Inactive,-6.811,3.9
14286,Inactive,-5.086,1.9
66166,Active,-8.189,7.0
74483,Active,-9.365,25.7
83975,Active,-6.638,12.6
5283349,Active,-5.286,5.0
11742,Active,-8.529,4.6
73864,Active,-9.112,11.9
2333,Active,-5.776,9.6
470999,Inactive,-4.129,64.7
31100,Active,23.450,55.6
60196366,Active,-6.635,20.4
26041,Active,-4.792,1.8
16211417,Active,-6.201,14.0
4445035,Inactive,-4.738,1.6
2775940,Active,-6.021,41.3
656597,Inactive,-7.500,9.8
5281065,Inactive,-5.430,28.1
23716429,Active,-6.484,23.7
