cid,tox21_outcome,vina_affinity,seconds
8178,Inactive,-3.760,8.0
8085,Inactive,-4.516,2.8
95392,Inactive,-5.186,3.7
71027,Active,-8.151,3.9
222464,Inactive,-6.618,4.2
71645,Inactive,-7.057,5.8
31070,Inactive,-6.024,9.9
2406,Active,-6.038,7.0
6758,Active,2.697,10.2
5284630,Inactive,30.010,151.1
69594,Inactive,-6.028,5.3
67821,Active,-9.254,22.9
638186,Inactive,-2.826,1.0
5283718,Active,-1.870,21.7
14145,Active,-7.232,6.5
8969,Inactive,-3.741,9.0
13783,Active,-6.889,13.0
5359,Inactive,-6.880,6.1
6926,Inactive,-5.459,3.1
4130,Inactive,-6.251,4.9
439280,Inactive,-6.798,6.6
154256,Active,-1.473,43.3
2734398,Inactive,-5.879,21.0
60196406,Active,11.630,64.0
8813,Active,-7.184,21.2
