cid,tox21_outcome,vina_affinity,seconds
69885,Inactive,-7.660,2.9
10230,Inactive,-6.916,3.1
5281104,Active,-1.969,24.1
4766,Inactive,-6.742,13.7
444913,Inactive,66.860,281.1
33039,Inactive,-7.268,4.3
472335,Active,2.813,8.8
5364713,Active,-6.252,29.6
151194,Active,-3.373,7.3
5281576,Active,-6.583,4.5
441140,Active,-6.167,5.1
213031,Active,-7.350,4.2
24007,Active,-2.160,0.8
7751,Inactive,-3.668,1.6
448223,Inactive,-7.876,6.3
91754,Active,-6.771,8.1
61253,Active,-6.881,13.1
6893,Inactive,-5.803,1.5
6584,Inactive,-3.081,1.1
1013376,Active,-2.575,11.8
60196359,Active,-4.960,5.5
107999,Inactive,-7.897,5.5
11065,Active,-8.789,5.3
166589,Inactive,-6.628,3.9
10664,Inactive,-5.938,4.5
