cid,tox21_outcome,vina_affinity,seconds
CHEMBL1482201,Inactive,-2.424,30.7
CHEMBL3827200,Inactive,-1.407,33.3
CHEMBL264216,Active,-1.769,35.7
CHEMBL2403355,Active,-9.035,9.5
CHEMBL1489063,Inactive,-4.505,24.5
CHEMBL4750007,Active,0.213,41.0
CHEMBL1327977,Inactive,-6.715,17.7
CHEMBL316292,Active,-3.746,26.1
CHEMBL1559853,Inactive,-2.935,11.0
CHEMBL5839498,Active,-1.894,53.5
CHEMBL381720,Inactive,-6.677,8.4
CHEMBL1464608,Inactive,-4.198,8.6
CHEMBL243789,Active,-0.139,50.7
CHEMBL1088344,Active,5.451,41.5
CHEMBL4244282,Active,,602.2
CHEMBL5563219,Active,5.132,410.6
CHEMBL135597,Active,-8.159,5.9
CHEMBL6008411,Active,-1.919,19.6
CHEMBL58,Inactive,-4.735,29.8
CHEMBL4163889,Active,-3.599,12.1
CHEMBL5960392,Active,2.964,24.3
CHEMBL1426947,Inactive,-5.915,4.8
CHEMBL5766240,Active,-3.303,25.0
CHEMBL368688,Active,-2.073,20.5
CHEMBL1505283,Inactive,-6.948,7.7
