cid,tox21_outcome,vina_affinity,seconds
9395,Active,-6.503,8.7
10233356,Active,2.931,126.4
85821,Active,-6.328,15.5
3957,Active,-3.762,8.9
91692,Active,-6.547,10.0
6595,Inactive,-4.368,1.7
5353788,Inactive,-5.616,5.9
4930,Inactive,-7.085,6.4
60810,Active,-4.423,38.6
6862,Inactive,-7.616,3.9
6446,Inactive,-7.566,7.5
94310,Inactive,-6.443,9.1
7693,Active,-5.733,2.0
7589,Active,-5.946,7.1
8269,Inactive,-5.936,15.7
8452,Inactive,-4.127,1.2
5463081,Inactive,-5.517,1.3
10377,Active,-6.196,5.5
23663400,Active,-6.697,7.1
60196339,Inactive,-5.927,53.3
3005572,Active,-5.240,23.4
23677967,Inactive,-5.467,9.7
4343483,Inactive,,0.2
17170,Active,-3.925,6.2
2734227,Active,-6.201,14.0
