SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-5.496,grid,-5.496,-5.36,-0.03839,-0.0,-0.2661,-27.7,1.642,1.307,0.0,-24.75,-26.06,16.57
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-5.127,grid,-5.127,-5.366,0.0,-0.0,0.1204,-24.09,0.1101,1.307,0.0,-23.25,-23.98,14.49
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-4.886,grid,-4.886,-5.215,0.0,-0.0,0.08942,-21.55,0.06761,1.307,0.0,-19.17,-21.48,17.03
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-0.9974,grid,-0.9974,-0.004996,-0.2959,-0.0,-0.9041,-19.06,-0.9788,1.307,0.0,-16.45,-20.04,9.706
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-0.956,grid,-0.956,-0.0004843,-0.1734,-0.0,-1.087,-18.1,-0.6471,1.307,0.0,-15.77,-18.75,8.393
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-4.305,grid,-4.305,-4.873,-0.02898,-0.0,0.09716,-13.99,-0.7195,1.307,0.0,-13.17,-14.71,14.0
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-0.461,grid,-0.461,-0.01887,0.0,-0.0,-0.7913,-19.11,-0.01758,1.307,0.0,-11.32,-19.13,16.78
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-5.377,grid,-5.377,-4.787,-0.02418,-0.0,-1.464,-9.973,0.5998,1.307,0.0,-9.988,-9.373,12.42
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-4.236,grid,-4.236,-5.157,-0.16,-0.0,0.02223,-2.305,-0.8913,1.307,0.0,-2.409,-3.196,12.33
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-3.62,grid,-3.62,-4.345,0.0,-0.0,-0.2557,-5.918,-0.2069,1.307,0.0,-1.333,-6.125,18.77
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-4.619,grid,-4.619,-4.731,0.0,-0.0,-1.203,-1.9,0.6856,1.307,0.0,-0.03428,-1.214,14.08
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.256,-2.552,grid,-2.552,-4.598,0.0,-0.0,0.7,-1.396,0.7235,1.307,0.0,8.399,-0.673,24.62
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,5.047,-5.653,grid,-5.653,-5.189,-0.04923,-0.0,-0.2018,-30.0,-0.1377,1.307,0.0,-28.09,-30.13,17.78
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,5.047,-5.189,grid,-5.189,-5.323,0.0,-0.0,0.2104,-26.71,-0.3252,1.307,0.0,-25.42,-27.03,15.78
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,5.047,-5.751,grid,-5.751,-5.536,0.0,-0.0,-0.4409,-24.9,1.094,1.307,0.0,-23.81,-23.81,13.92
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,5.047,-1.085,grid,-1.085,-0.1409,0.0,-0.0,-1.085,-21.53,-0.605,1.307,0.0,-20.78,-22.13,5.336
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,5.047,-3.213,grid,-3.213,-4.355,0.0,-0.0,1.073,-21.94,-0.9496,1.307,0.0,-20.45,-22.89,12.65
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,5.047,-1.076,grid,-1.076,-0.3821,0.0,-0.0,-1.087,-20.96,0.8911,1.307,0.0,-19.32,-20.07,4.118
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,5.047,-0.3745,grid,-0.3745,-0.3411,0.0,-0.0,-0.3087,-23.46,0.9414,1.307,0.0,-18.84,-22.52,8.278
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,5.047,-0.7824,grid,-0.7824,-0.1096,0.0,-0.0,-1.076,-19.39,0.437,1.307,0.0,-18.27,-18.95,3.255
